Percentage_Increase,Scale_Factor,Success_Rate,Avg_Reward
0,1.00000000000000000000,0.0,0.0
20,1.20000000000000000000,0.0,0.0
40,1.40000000000000000000,0.0,0.0
50,1.50000000000000000000,0.0,0.0
90,1.90000000000000000000,0.0,0.0
100,2.00000000000000000000,0.0,0.0
120,2.20000000000000000000,0.0,0.0
140,2.40000000000000000000,0.0,0.0
150,2.50000000000000000000,0.0,0.0
200,3.00000000000000000000,0.0,0.0
