Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
6	:	1757866086.183	     3.204	0	0	1	0	run_single_attr_job 6 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftCylinder scale 6 2.5000 3296
5	:	1757866086.173	     3.265	0	0	1	0	run_single_attr_job 5 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Jaco LiftCylinder scale 6 2.5000 2008
4	:	1757866086.164	     3.394	0	0	1	0	run_single_attr_job 4 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftCylinder scale 6 2.5000 1409
3	:	1757866086.154	     3.458	0	0	1	0	run_single_attr_job 3 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftBall scale 6 2.5000 3296
2	:	1757866086.146	     3.653	0	0	1	0	run_single_attr_job 2 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Jaco LiftBall scale 6 2.5000 2008
1	:	1757866086.139	     3.756	0	0	1	0	run_single_attr_job 1 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftBall scale 6 2.5000 1409
8	:	1757866089.448	     3.544	0	0	1	0	run_single_attr_job 8 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftBall scale 6 2.5000 2008
7	:	1757866089.397	     3.701	0	0	1	0	run_single_attr_job 7 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Kinova3 LiftBall scale 6 2.5000 1409
9	:	1757866089.568	     3.688	0	0	1	0	run_single_attr_job 9 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Kinova3 LiftBall scale 6 2.5000 3296
10	:	1757866089.623	     4.207	0	0	1	0	run_single_attr_job 10 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Kinova3 LiftCylinder scale 6 2.5000 1409
11	:	1757866089.809	     4.206	0	0	1	0	run_single_attr_job 11 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftCylinder scale 6 2.5000 2008
12	:	1757866089.930	     4.326	0	0	1	0	run_single_attr_job 12 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Kinova3 LiftCylinder scale 6 2.5000 3296
15	:	1757866093.266	     3.204	0	0	1	0	run_single_attr_job 15 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftBall scale 5 0.3000 3296
14	:	1757866093.107	     3.392	0	0	1	0	run_single_attr_job 14 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Jaco LiftBall scale 5 0.3000 2008
13	:	1757866093.001	     3.558	0	0	1	0	run_single_attr_job 13 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftBall scale 5 0.3000 1409
17	:	1757866094.025	     3.041	0	0	1	0	run_single_attr_job 17 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Jaco LiftCylinder scale 5 0.3000 2008
16	:	1757866093.839	     3.742	0	0	1	0	run_single_attr_job 16 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftCylinder scale 5 0.3000 1409
18	:	1757866094.266	     3.795	0	0	1	0	run_single_attr_job 18 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftCylinder scale 5 0.3000 3296
19	:	1757866096.481	     3.384	0	0	1	0	run_single_attr_job 19 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Kinova3 LiftBall scale 5 0.3000 1409
21	:	1757866096.568	     3.398	0	0	1	0	run_single_attr_job 21 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Kinova3 LiftBall scale 5 0.3000 3296
20	:	1757866096.509	     3.613	0	0	1	0	run_single_attr_job 20 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftBall scale 5 0.3000 2008
23	:	1757866097.590	     3.097	0	0	1	0	run_single_attr_job 23 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftCylinder scale 5 0.3000 2008
22	:	1757866097.077	     4.219	0	0	1	0	run_single_attr_job 22 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Kinova3 LiftCylinder scale 5 0.3000 1409
24	:	1757866098.129	     3.967	0	0	1	0	run_single_attr_job 24 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Kinova3 LiftCylinder scale 5 0.3000 3296
26	:	1757866099.976	     3.342	0	0	1	0	run_single_attr_job 26 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Jaco LiftBall scale 4 0.8248 2008
25	:	1757866099.873	     3.654	0	0	1	0	run_single_attr_job 25 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftBall scale 4 0.8248 1409
