Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1757919652.747	    43.395	0	0	0	0	run_single_attr_job 1 allnodes allnodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_ALLNODES4_1409-run:v9 Jaco DoorScalableHandle scale 9 1.2665 1409
14	:	1757919652.841	    43.521	0	0	0	0	run_single_attr_job 14 allnodes allnodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_ALLNODES4_2008-run:v9 Jaco DoorScalableHandle scale 7 1.3929 2008
15	:	1757919652.849	    43.565	0	0	0	0	run_single_attr_job 15 allnodes allnodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_ALLNODES4_3296-run:v9 Jaco DoorScalableHandle scale 7 1.3929 3296
8	:	1757919652.795	    43.993	0	0	0	0	run_single_attr_job 8 allnodes allnodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_ALLNODES4_2008-run:v9 Jaco DoorScalableHandle scale 8 1.1809 2008
2	:	1757919652.753	    44.154	0	0	0	0	run_single_attr_job 2 allnodes allnodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_ALLNODES4_2008-run:v9 Jaco DoorScalableHandle scale 9 1.2665 2008
3	:	1757919652.760	    44.229	0	0	0	0	run_single_attr_job 3 allnodes allnodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_ALLNODES4_3296-run:v9 Jaco DoorScalableHandle scale 9 1.2665 3296
13	:	1757919652.833	    44.278	0	0	0	0	run_single_attr_job 13 allnodes allnodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_ALLNODES4_1409-run:v9 Jaco DoorScalableHandle scale 7 1.3929 1409
7	:	1757919652.788	    44.513	0	0	0	0	run_single_attr_job 7 allnodes allnodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_ALLNODES4_1409-run:v9 Jaco DoorScalableHandle scale 8 1.1809 1409
9	:	1757919652.802	    45.743	0	0	0	0	run_single_attr_job 9 allnodes allnodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_ALLNODES4_3296-run:v9 Jaco DoorScalableHandle scale 8 1.1809 3296
5	:	1757919652.774	    45.965	0	0	0	0	run_single_attr_job 5 allnodes allnodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_ALLNODES4_2008-run:v9 Kinova3 DoorScalableHandle scale 9 1.2665 2008
12	:	1757919652.825	    47.066	0	0	0	0	run_single_attr_job 12 allnodes allnodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_ALLNODES4_3296-run:v9 Kinova3 DoorScalableHandle scale 8 1.1809 3296
4	:	1757919652.767	    47.169	0	0	0	0	run_single_attr_job 4 allnodes allnodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_ALLNODES4_1409-run:v9 Kinova3 DoorScalableHandle scale 9 1.2665 1409
10	:	1757919652.809	    47.175	0	0	0	0	run_single_attr_job 10 allnodes allnodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_ALLNODES4_1409-run:v9 Kinova3 DoorScalableHandle scale 8 1.1809 1409
16	:	1757919652.858	    47.184	0	0	0	0	run_single_attr_job 16 allnodes allnodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_ALLNODES4_1409-run:v9 Kinova3 DoorScalableHandle scale 7 1.3929 1409
11	:	1757919652.817	    47.848	0	0	0	0	run_single_attr_job 11 allnodes allnodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_ALLNODES4_2008-run:v9 Kinova3 DoorScalableHandle scale 8 1.1809 2008
6	:	1757919652.781	    48.118	0	0	0	0	run_single_attr_job 6 allnodes allnodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_ALLNODES4_3296-run:v9 Kinova3 DoorScalableHandle scale 9 1.2665 3296
