Method,Morph,Task,Attribute_Type,Sample_Index,Attribute_Value,Success_Rate_Mean,Success_Rate_Std,Avg_Reward_Mean,Avg_Reward_Std
allnodes,Jaco,DoorScalableHandle,scale,9,1.2665,0.00,0.00,3.14,0.00
allnodes,Kinova3,DoorScalableHandle,scale,9,1.2665,0.00,0.00,0.76,0.00
allnodes,Jaco,DoorScalableHandle,scale,8,1.1809,0.00,0.00,3.14,0.00
allnodes,Kinova3,DoorScalableHandle,scale,8,1.1809,0.00,0.00,1.05,0.00
allnodes,Jaco,DoorScalableHandle,scale,7,1.3929,0.00,0.00,0.72,0.00
allnodes,Kinova3,DoorScalableHandle,scale,7,1.3929,0.00,0.00,1.05,0.00
allnodes,Jaco,DoorScalableHandle,scale,6,0.7465,0.00,0.00,3.14,0.00
allnodes,Kinova3,DoorScalableHandle,scale,6,0.7465,0.00,0.00,1.05,0.00
allnodes,Jaco,DoorScalableHandle,scale,5,0.8248,0.00,0.00,1.00,0.00
allnodes,Kinova3,DoorScalableHandle,scale,5,0.8248,0.00,0.00,1.24,0.00
allnodes,Jaco,DoorScalableHandle,scale,4,0.8248,0.00,0.00,0.72,0.00
allnodes,Kinova3,DoorScalableHandle,scale,4,0.8248,0.00,0.00,0.76,0.00
allnodes,Jaco,DoorScalableHandle,scale,3,1.1789,0.00,0.00,0.72,0.00
allnodes,Kinova3,DoorScalableHandle,scale,3,1.1789,0.00,0.00,1.24,0.00
allnodes,Jaco,DoorScalableHandle,scale,2,1.2856,0.00,0.00,1.00,0.00
allnodes,Kinova3,DoorScalableHandle,scale,2,1.2856,0.00,0.00,0.76,0.00
allnodes,Jaco,DoorScalableHandle,scale,1,1.4606,0.00,0.00,1.00,0.00
allnodes,Kinova3,DoorScalableHandle,scale,1,1.4606,0.00,0.00,1.05,0.00
allnodes,Jaco,DoorScalableHandle,scale,0,0.9996,0.00,0.00,3.14,0.00
allnodes,Kinova3,DoorScalableHandle,scale,0,0.9996,0.00,0.00,1.05,0.00
allnodes,Jaco,DoorScalableHandle,scale,10,0.3000,0.00,0.00,0.72,0.00
allnodes,Kinova3,DoorScalableHandle,scale,10,0.3000,0.00,0.00,0.76,0.00
