Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
28	:	1757866491.502	     6.237	0	0	0	0	run_single_attr_job 28 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftCylinder scale 4 0.8248 1409
32	:	1757866497.384	     3.486	0	0	0	0	run_single_attr_job 32 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftBall scale 4 0.8248 2008
33	:	1757866497.750	     4.476	0	0	0	0	run_single_attr_job 33 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Kinova3 LiftBall scale 4 0.8248 3296
31	:	1757866496.441	     6.710	0	0	0	0	run_single_attr_job 31 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Kinova3 LiftBall scale 4 0.8248 1409
35	:	1757866502.236	     3.726	0	0	0	0	run_single_attr_job 35 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftCylinder scale 4 0.8248 2008
36	:	1757866503.160	     3.940	0	0	0	0	run_single_attr_job 36 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Kinova3 LiftCylinder scale 4 0.8248 3296
34	:	1757866500.881	     6.851	0	0	0	0	run_single_attr_job 34 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Kinova3 LiftCylinder scale 4 0.8248 1409
38	:	1757866507.111	     4.154	0	0	0	0	run_single_attr_job 38 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Jaco LiftBall scale 3 1.1789 2008
39	:	1757866507.743	     3.941	0	0	0	0	run_single_attr_job 39 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftBall scale 3 1.1789 3296
37	:	1757866505.971	     6.585	0	0	0	0	run_single_attr_job 37 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftBall scale 3 1.1789 1409
42	:	1757866512.568	     7.181	0	0	0	0	run_single_attr_job 42 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftCylinder scale 3 1.1789 3296
40	:	1757866511.276	     8.927	0	0	0	0	run_single_attr_job 40 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftCylinder scale 3 1.1789 1409
41	:	1757866511.697	     8.654	0	0	0	0	run_single_attr_job 41 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Jaco LiftCylinder scale 3 1.1789 2008
20	:	1757866475.440	    45.009	0	0	0	0	run_single_attr_job 20 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftBall scale 5 0.3000 2008
24	:	1757866479.598	    47.085	0	0	0	0	run_single_attr_job 24 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Kinova3 LiftCylinder scale 5 0.3000 3296
25	:	1757866485.059	    46.309	0	0	0	0	run_single_attr_job 25 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftBall scale 4 0.8248 1409
43	:	1757866519.759	    46.303	0	0	0	0	run_single_attr_job 43 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Kinova3 LiftBall scale 3 1.1789 1409
45	:	1757866520.361	    46.602	0	0	0	0	run_single_attr_job 45 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Kinova3 LiftBall scale 3 1.1789 3296
46	:	1757866520.460	    46.999	0	0	0	0	run_single_attr_job 46 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Kinova3 LiftCylinder scale 3 1.1789 1409
44	:	1757866520.214	    47.338	0	0	0	0	run_single_attr_job 44 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftBall scale 3 1.1789 2008
47	:	1757866526.694	    47.563	0	0	0	0	run_single_attr_job 47 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftCylinder scale 3 1.1789 2008
48	:	1757866531.379	    47.822	0	0	0	0	run_single_attr_job 48 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Kinova3 LiftCylinder scale 3 1.1789 3296
50	:	1757866567.025	    44.005	0	0	0	0	run_single_attr_job 50 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Jaco LiftBall scale 2 1.2856 2008
51	:	1757866567.469	    44.082	0	0	0	0	run_single_attr_job 51 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftBall scale 2 1.2856 3296
49	:	1757866566.074	    46.053	0	0	0	0	run_single_attr_job 49 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftBall scale 2 1.2856 1409
52	:	1757866567.561	    45.867	0	0	0	0	run_single_attr_job 52 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftCylinder scale 2 1.2856 1409
53	:	1757866574.267	    45.595	0	0	0	0	run_single_attr_job 53 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Jaco LiftCylinder scale 2 1.2856 2008
54	:	1757866579.212	    43.894	0	0	0	0	run_single_attr_job 54 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftCylinder scale 2 1.2856 3296
56	:	1757866611.561	    46.700	0	0	0	0	run_single_attr_job 56 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftBall scale 2 1.2856 2008
55	:	1757866611.042	    47.296	0	0	0	0	run_single_attr_job 55 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Kinova3 LiftBall scale 2 1.2856 1409
57	:	1757866612.139	    47.355	0	0	0	0	run_single_attr_job 57 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Kinova3 LiftBall scale 2 1.2856 3296
58	:	1757866613.437	    46.178	0	0	0	0	run_single_attr_job 58 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Kinova3 LiftCylinder scale 2 1.2856 1409
59	:	1757866619.874	    46.467	0	0	0	0	run_single_attr_job 59 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftCylinder scale 2 1.2856 2008
